location,treatment,pair,plot,point,date,year,DOY,CumLS2022,CumES2023,CumLS2023,TD [cm],Note
1,C,5,1C5,G,21/07/2022,2022,202,0,0,0,84,
1,C,5,1C5,I,21/07/2022,2022,202,0,0,0,85,
1,I,5,1I5,A,21/07/2022,2022,202,0,0,0,80,
1,I,5,1I5,C,21/07/2022,2022,202,0,0,0,83,
1,I,5,1I5,E,21/07/2022,2022,202,0,0,0,83,
1,I,5,1I5,G,21/07/2022,2022,202,0,0,0,80,
1,I,5,1I5,I,21/07/2022,2022,202,0,0,0,80,
1,C,6,1C6,A,21/07/2022,2022,202,0,0,0,78,
1,C,6,1C6,C,21/07/2022,2022,202,0,0,0,75,
1,C,6,1C6,E,21/07/2022,2022,202,0,0,0,78,
1,C,6,1C6,G,21/07/2022,2022,202,0,0,0,81,
1,C,6,1C6,I,21/07/2022,2022,202,0,0,0,77,
1,I,6,1I6,A,21/07/2022,2022,202,0,0,0,79,
1,I,6,1I6,C,21/07/2022,2022,202,0,0,0,82,
1,I,6,1I6,E,21/07/2022,2022,202,0,0,0,81,
1,I,6,1I6,G,21/07/2022,2022,202,0,0,0,82,
1,I,6,1I6,I,21/07/2022,2022,202,0,0,0,82,
1,C,7,1C7,A,21/07/2022,2022,202,0,0,0,83,
1,C,7,1C7,C,21/07/2022,2022,202,0,0,0,81,
1,C,7,1C7,E,21/07/2022,2022,202,0,0,0,83,
1,C,7,1C7,G,21/07/2022,2022,202,0,0,0,85,
1,C,7,1C7,I,21/07/2022,2022,202,0,0,0,85,
1,I,7,1I7,A,21/07/2022,2022,202,0,0,0,84,
1,I,7,1I7,C,21/07/2022,2022,202,0,0,0,81,
1,I,7,1I7,E,21/07/2022,2022,202,0,0,0,80,
1,I,7,1I7,G,21/07/2022,2022,202,0,0,0,76,
1,I,7,1I7,I,21/07/2022,2022,202,0,0,0,86,
2,C,1,2C1,A,21/07/2022,2022,202,0,0,0,50.1,
2,C,1,2C1,C,21/07/2022,2022,202,0,0,0,50.8,
2,C,1,2C1,E,21/07/2022,2022,202,0,0,0,45.5,
2,C,1,2C1,G,21/07/2022,2022,202,0,0,0,43.2,
2,C,1,2C1,I,21/07/2022,2022,202,0,0,0,46,
2,I,1,2I1,A,21/07/2022,2022,202,0,0,0,51.4,
2,I,1,2I1,C,21/07/2022,2022,202,0,0,0,54.2,
2,I,1,2I1,E,21/07/2022,2022,202,0,0,0,47.3,
2,I,1,2I1,G,21/07/2022,2022,202,0,0,0,52.1,
2,I,1,2I1,I,21/07/2022,2022,202,0,0,0,52.1,
2,C,2,2C2,A,21/07/2022,2022,202,0,0,0,45.2,
2,C,2,2C2,C,21/07/2022,2022,202,0,0,0,40.3,
2,C,2,2C2,E,21/07/2022,2022,202,0,0,0,41.9,
2,C,2,2C2,G,21/07/2022,2022,202,0,0,0,46,
2,C,2,2C2,I,21/07/2022,2022,202,0,0,0,42.8,
2,I,2,2I2,A,21/07/2022,2022,202,0,0,0,44.7,
2,I,2,2I2,C,21/07/2022,2022,202,0,0,0,38.2,
2,I,2,2I2,E,21/07/2022,2022,202,0,0,0,42.6,
2,I,2,2I2,G,21/07/2022,2022,202,0,0,0,47.6,
2,I,2,2I2,I,21/07/2022,2022,202,0,0,0,43.5,
2,C,3,2C3,A,21/07/2022,2022,202,0,0,0,43.5,
2,C,3,2C3,C,21/07/2022,2022,202,0,0,0,44,
2,C,3,2C3,E,21/07/2022,2022,202,0,0,0,43.6,
2,C,3,2C3,G,21/07/2022,2022,202,0,0,0,48.1,
2,C,3,2C3,I,21/07/2022,2022,202,0,0,0,44.3,
2,I,3,2I3,A,21/07/2022,2022,202,0,0,0,42,
2,I,3,2I3,C,21/07/2022,2022,202,0,0,0,40.2,
2,I,3,2I3,E,21/07/2022,2022,202,0,0,0,45.5,
2,I,3,2I3,G,21/07/2022,2022,202,0,0,0,49,
2,I,3,2I3,I,21/07/2022,2022,202,0,0,0,43.2,
2,C,4,2C4,A,21/07/2022,2022,202,0,0,0,49.1,
2,C,4,2C4,C,21/07/2022,2022,202,0,0,0,49.1,
2,C,4,2C4,E,21/07/2022,2022,202,0,0,0,46.8,
2,C,4,2C4,G,21/07/2022,2022,202,0,0,0,51.1,
2,C,4,2C4,I,21/07/2022,2022,202,0,0,0,48,
2,I,4,2I4,A,21/07/2022,2022,202,0,0,0,43,
2,I,4,2I4,C,21/07/2022,2022,202,0,0,0,39.4,
2,I,4,2I4,E,21/07/2022,2022,202,0,0,0,40.2,
2,I,4,2I4,G,21/07/2022,2022,202,0,0,0,42.9,
2,I,4,2I4,I,21/07/2022,2022,202,0,0,0,40.9,
2,C,5,2C5,A,21/07/2022,2022,202,0,0,0,48.5,
2,C,5,2C5,C,21/07/2022,2022,202,0,0,0,51.6,
2,C,5,2C5,E,21/07/2022,2022,202,0,0,0,50.6,
2,C,5,2C5,G,21/07/2022,2022,202,0,0,0,51.7,
2,C,5,2C5,I,21/07/2022,2022,202,0,0,0,51.2,
2,I,5,2I5,A,21/07/2022,2022,202,0,0,0,45.6,
2,I,5,2I5,C,21/07/2022,2022,202,0,0,0,45.9,
2,I,5,2I5,E,21/07/2022,2022,202,0,0,0,49,
2,I,5,2I5,G,21/07/2022,2022,202,0,0,0,43.2,
2,I,5,2I5,I,21/07/2022,2022,202,0,0,0,43.6,
2,C,6,2C6,A,21/07/2022,2022,202,0,0,0,53.2,
2,C,6,2C6,C,21/07/2022,2022,202,0,0,0,46.2,
2,C,6,2C6,E,21/07/2022,2022,202,0,0,0,42,
2,C,6,2C6,G,21/07/2022,2022,202,0,0,0,50.2,
2,C,6,2C6,I,21/07/2022,2022,202,0,0,0,43.4,
2,I,6,2I6,A,21/07/2022,2022,202,0,0,0,45.9,
2,I,6,2I6,C,21/07/2022,2022,202,0,0,0,48.2,
2,I,6,2I6,E,21/07/2022,2022,202,0,0,0,46.2,
2,I,6,2I6,G,21/07/2022,2022,202,0,0,0,43.5,
2,I,6,2I6,I,21/07/2022,2022,202,0,0,0,43.3,
2,C,7,2C7,A,21/07/2022,2022,202,0,0,0,51,
2,C,7,2C7,C,21/07/2022,2022,202,0,0,0,49.3,
2,C,7,2C7,E,21/07/2022,2022,202,0,0,0,46.9,
2,C,7,2C7,G,21/07/2022,2022,202,0,0,0,46.1,
2,C,7,2C7,I,21/07/2022,2022,202,0,0,0,50.9,
2,I,7,2I7,A,21/07/2022,2022,202,0,0,0,48.6,
2,I,7,2I7,C,21/07/2022,2022,202,0,0,0,47.8,
2,I,7,2I7,E,21/07/2022,2022,202,0,0,0,47.5,
2,I,7,2I7,G,21/07/2022,2022,202,0,0,0,46.7,
2,I,7,2I7,I,21/07/2022,2022,202,0,0,0,47.2,
1,C,1,1C1,A,01/08/2022,2022,213,0,0,0,86,
1,C,1,1C1,C,01/08/2022,2022,213,0,0,0,84,
1,C,1,1C1,E,01/08/2022,2022,213,0,0,0,81,
1,C,1,1C1,G,01/08/2022,2022,213,0,0,0,82,
1,C,1,1C1,I,01/08/2022,2022,213,0,0,0,82,
1,I,1,1I1,A,01/08/2022,2022,213,30,0,0,88,
1,I,1,1I1,C,01/08/2022,2022,213,30,0,0,89,
1,I,1,1I1,E,01/08/2022,2022,213,30,0,0,88,
1,I,1,1I1,G,01/08/2022,2022,213,30,0,0,90,
1,I,1,1I1,I,01/08/2022,2022,213,30,0,0,90,
1,C,2,1C2,A,01/08/2022,2022,213,0,0,0,86,
1,C,2,1C2,C,01/08/2022,2022,213,0,0,0,80,
1,C,2,1C2,E,01/08/2022,2022,213,0,0,0,85,
1,C,2,1C2,G,01/08/2022,2022,213,0,0,0,82,
1,C,2,1C2,I,01/08/2022,2022,213,0,0,0,85,
1,I,2,1I2,A,01/08/2022,2022,213,30,0,0,84,
1,I,2,1I2,C,01/08/2022,2022,213,30,0,0,84,
1,I,2,1I2,E,01/08/2022,2022,213,30,0,0,87,
1,I,2,1I2,G,01/08/2022,2022,213,30,0,0,85,
1,I,2,1I2,I,01/08/2022,2022,213,30,0,0,85,
1,C,3,1C3,A,01/08/2022,2022,213,0,0,0,93,
1,C,3,1C3,C,01/08/2022,2022,213,0,0,0,95,
1,C,3,1C3,E,01/08/2022,2022,213,0,0,0,95,
1,C,3,1C3,G,01/08/2022,2022,213,0,0,0,97,
1,C,3,1C3,I,01/08/2022,2022,213,0,0,0,100,
1,I,3,1I3,A,01/08/2022,2022,213,30,0,0,88,
1,I,3,1I3,C,01/08/2022,2022,213,30,0,0,89,
1,I,3,1I3,E,01/08/2022,2022,213,30,0,0,91,
1,I,3,1I3,G,01/08/2022,2022,213,30,0,0,90,
1,I,3,1I3,I,01/08/2022,2022,213,30,0,0,85,
1,C,4,1C4,A,01/08/2022,2022,213,0,0,0,85,
1,C,4,1C4,C,01/08/2022,2022,213,0,0,0,78,
1,C,4,1C4,E,01/08/2022,2022,213,0,0,0,80,
1,C,4,1C4,G,01/08/2022,2022,213,0,0,0,88,
1,C,4,1C4,I,01/08/2022,2022,213,0,0,0,81,
1,I,4,1I4,A,01/08/2022,2022,213,30,0,0,83,
1,I,4,1I4,C,01/08/2022,2022,213,30,0,0,85,
1,I,4,1I4,E,01/08/2022,2022,213,30,0,0,86,
1,I,4,1I4,G,01/08/2022,2022,213,30,0,0,83,
1,I,4,1I4,I,01/08/2022,2022,213,30,0,0,83,
1,C,5,1C5,A,01/08/2022,2022,213,0,0,0,93,
1,C,5,1C5,C,01/08/2022,2022,213,0,0,0,87,
1,C,5,1C5,E,01/08/2022,2022,213,0,0,0,85,
1,C,5,1C5,G,01/08/2022,2022,213,0,0,0,90,
1,C,5,1C5,I,01/08/2022,2022,213,0,0,0,90,
1,I,5,1I5,A,01/08/2022,2022,213,30,0,0,85,
1,I,5,1I5,C,01/08/2022,2022,213,30,0,0,89,
1,I,5,1I5,E,01/08/2022,2022,213,30,0,0,88,
1,I,5,1I5,G,01/08/2022,2022,213,30,0,0,87,
1,I,5,1I5,I,01/08/2022,2022,213,30,0,0,88,
1,C,6,1C6,A,01/08/2022,2022,213,0,0,0,80,
1,C,6,1C6,C,01/08/2022,2022,213,0,0,0,80,
1,C,6,1C6,E,01/08/2022,2022,213,0,0,0,82,
1,C,6,1C6,G,01/08/2022,2022,213,0,0,0,87,
1,C,6,1C6,I,01/08/2022,2022,213,0,0,0,83,
1,I,6,1I6,A,01/08/2022,2022,213,30,0,0,85,
1,I,6,1I6,C,01/08/2022,2022,213,30,0,0,88,
1,I,6,1I6,E,01/08/2022,2022,213,30,0,0,86,
1,I,6,1I6,G,01/08/2022,2022,213,30,0,0,87,
1,I,6,1I6,I,01/08/2022,2022,213,30,0,0,87,
1,C,7,1C7,A,01/08/2022,2022,213,0,0,0,90,
1,C,7,1C7,C,01/08/2022,2022,213,0,0,0,87,
1,C,7,1C7,E,01/08/2022,2022,213,0,0,0,87,
1,C,7,1C7,G,01/08/2022,2022,213,0,0,0,92,
1,C,7,1C7,I,01/08/2022,2022,213,0,0,0,91,
1,I,7,1I7,A,01/08/2022,2022,213,30,0,0,96,
1,I,7,1I7,C,01/08/2022,2022,213,30,0,0,90,
1,I,7,1I7,E,01/08/2022,2022,213,30,0,0,88,
1,I,7,1I7,G,01/08/2022,2022,213,30,0,0,92,
1,I,7,1I7,I,01/08/2022,2022,213,30,0,0,97,
2,C,1,2C1,A,01/08/2022,2022,213,0,0,0,57,
2,C,1,2C1,C,01/08/2022,2022,213,0,0,0,58,
2,C,1,2C1,E,01/08/2022,2022,213,0,0,0,52,
2,C,1,2C1,G,01/08/2022,2022,213,0,0,0,49,
2,C,1,2C1,I,01/08/2022,2022,213,0,0,0,53,
2,I,1,2I1,A,01/08/2022,2022,213,30,0,0,54,
2,I,1,2I1,C,01/08/2022,2022,213,30,0,0,58,
2,I,1,2I1,E,01/08/2022,2022,213,30,0,0,53,
2,I,1,2I1,G,01/08/2022,2022,213,30,0,0,56,
2,I,1,2I1,I,01/08/2022,2022,213,30,0,0,56,
2,C,2,2C2,A,01/08/2022,2022,213,0,0,0,52,
2,C,2,2C2,C,01/08/2022,2022,213,0,0,0,44,
2,C,2,2C2,E,01/08/2022,2022,213,0,0,0,47,
2,C,2,2C2,G,01/08/2022,2022,213,0,0,0,52,
2,C,2,2C2,I,01/08/2022,2022,213,0,0,0,46,
2,I,2,2I2,A,01/08/2022,2022,213,30,0,0,50,
2,I,2,2I2,C,01/08/2022,2022,213,30,0,0,42,
2,I,2,2I2,E,01/08/2022,2022,213,30,0,0,51,
2,I,2,2I2,G,01/08/2022,2022,213,30,0,0,56,
2,I,2,2I2,I,01/08/2022,2022,213,30,0,0,49,
2,C,3,2C3,A,01/08/2022,2022,213,0,0,0,50,
2,C,3,2C3,C,01/08/2022,2022,213,0,0,0,48,
2,C,3,2C3,E,01/08/2022,2022,213,0,0,0,47,
2,C,3,2C3,G,01/08/2022,2022,213,0,0,0,52,
2,C,3,2C3,I,01/08/2022,2022,213,0,0,0,47,
2,I,3,2I3,A,01/08/2022,2022,213,30,0,0,44,
2,I,3,2I3,C,01/08/2022,2022,213,30,0,0,40,
2,I,3,2I3,E,01/08/2022,2022,213,30,0,0,48,
2,I,3,2I3,G,01/08/2022,2022,213,30,0,0,55,
2,I,3,2I3,I,01/08/2022,2022,213,30,0,0,47,
2,C,4,2C4,A,01/08/2022,2022,213,0,0,0,53,
2,C,4,2C4,C,01/08/2022,2022,213,0,0,0,53,
2,C,4,2C4,E,01/08/2022,2022,213,0,0,0,54,
2,C,4,2C4,G,01/08/2022,2022,213,0,0,0,53,
2,C,4,2C4,I,01/08/2022,2022,213,0,0,0,53,
2,I,4,2I4,A,01/08/2022,2022,213,30,0,0,46,
2,I,4,2I4,C,01/08/2022,2022,213,30,0,0,43,
2,I,4,2I4,E,01/08/2022,2022,213,30,0,0,44,
2,I,4,2I4,G,01/08/2022,2022,213,30,0,0,45,
2,I,4,2I4,I,01/08/2022,2022,213,30,0,0,44,
2,C,5,2C5,A,01/08/2022,2022,213,0,0,0,55,
2,C,5,2C5,C,01/08/2022,2022,213,0,0,0,59,
2,C,5,2C5,E,01/08/2022,2022,213,0,0,0,58,
2,C,5,2C5,G,01/08/2022,2022,213,0,0,0,59,
2,C,5,2C5,I,01/08/2022,2022,213,0,0,0,57,
2,I,5,2I5,A,01/08/2022,2022,213,30,0,0,51,
2,I,5,2I5,C,01/08/2022,2022,213,30,0,0,55,
2,I,5,2I5,E,01/08/2022,2022,213,30,0,0,55,
2,I,5,2I5,G,01/08/2022,2022,213,30,0,0,51,
2,I,5,2I5,I,01/08/2022,2022,213,30,0,0,51,
2,C,6,2C6,A,01/08/2022,2022,213,0,0,0,59,
2,C,6,2C6,C,01/08/2022,2022,213,0,0,0,52,
2,C,6,2C6,E,01/08/2022,2022,213,0,0,0,47,
2,C,6,2C6,G,01/08/2022,2022,213,0,0,0,59,
2,C,6,2C6,I,01/08/2022,2022,213,0,0,0,51,
2,I,6,2I6,A,01/08/2022,2022,213,30,0,0,52,
2,I,6,2I6,C,01/08/2022,2022,213,30,0,0,54,
2,I,6,2I6,E,01/08/2022,2022,213,30,0,0,50,
2,I,6,2I6,G,01/08/2022,2022,213,30,0,0,50,
2,I,6,2I6,I,01/08/2022,2022,213,30,0,0,53,
2,C,7,2C7,A,01/08/2022,2022,213,0,0,0,57,
2,C,7,2C7,C,01/08/2022,2022,213,0,0,0,55,
2,C,7,2C7,E,01/08/2022,2022,213,0,0,0,53,
2,C,7,2C7,G,01/08/2022,2022,213,0,0,0,52,
2,C,7,2C7,I,01/08/2022,2022,213,0,0,0,56,
2,I,7,2I7,A,01/08/2022,2022,213,50,0,0,56,
2,I,7,2I7,C,01/08/2022,2022,213,50,0,0,55,
2,I,7,2I7,E,01/08/2022,2022,213,50,0,0,54,
2,I,7,2I7,G,01/08/2022,2022,213,50,0,0,53,
2,I,7,2I7,I,01/08/2022,2022,213,50,0,0,55,
1,C,1,1C1,A,07/08/2022,2022,219,0,0,0,87.5,
1,C,1,1C1,C,07/08/2022,2022,219,0,0,0,86,
1,C,1,1C1,E,07/08/2022,2022,219,0,0,0,82,
1,C,1,1C1,G,07/08/2022,2022,219,0,0,0,83,
1,C,1,1C1,I,07/08/2022,2022,219,0,0,0,83,
1,I,1,1I1,A,07/08/2022,2022,219,50,0,0,91,
1,I,1,1I1,C,07/08/2022,2022,219,50,0,0,92,
1,I,1,1I1,E,07/08/2022,2022,219,50,0,0,92,
1,I,1,1I1,G,07/08/2022,2022,219,50,0,0,93,
1,I,1,1I1,I,07/08/2022,2022,219,50,0,0,94,
1,C,2,1C2,A,07/08/2022,2022,219,0,0,0,88,
1,C,2,1C2,C,07/08/2022,2022,219,0,0,0,82,
1,C,2,1C2,E,07/08/2022,2022,219,0,0,0,87,
1,C,2,1C2,G,07/08/2022,2022,219,0,0,0,85,
1,C,2,1C2,I,07/08/2022,2022,219,0,0,0,86,
1,I,2,1I2,A,07/08/2022,2022,219,50,0,0,86,
1,I,2,1I2,C,07/08/2022,2022,219,50,0,0,86,
1,I,2,1I2,E,07/08/2022,2022,219,50,0,0,88.5,
1,I,2,1I2,G,07/08/2022,2022,219,50,0,0,86.5,
1,I,2,1I2,I,07/08/2022,2022,219,50,0,0,86,
1,C,3,1C3,A,07/08/2022,2022,219,0,0,0,97,
1,C,3,1C3,C,07/08/2022,2022,219,0,0,0,98,
1,C,3,1C3,E,07/08/2022,2022,219,0,0,0,97,
1,C,3,1C3,G,07/08/2022,2022,219,0,0,0,99,
1,C,3,1C3,I,07/08/2022,2022,219,0,0,0,101,
1,I,3,1I3,A,07/08/2022,2022,219,50,0,0,90,
1,I,3,1I3,C,07/08/2022,2022,219,50,0,0,91,
1,I,3,1I3,E,07/08/2022,2022,219,50,0,0,92,
1,I,3,1I3,G,07/08/2022,2022,219,50,0,0,93,
1,I,3,1I3,I,07/08/2022,2022,219,50,0,0,89,
1,C,4,1C4,A,07/08/2022,2022,219,0,0,0,89,
1,C,4,1C4,C,07/08/2022,2022,219,0,0,0,81,
1,C,4,1C4,E,07/08/2022,2022,219,0,0,0,82,
1,C,4,1C4,G,07/08/2022,2022,219,0,0,0,90,
1,C,4,1C4,I,07/08/2022,2022,219,0,0,0,84,
1,I,4,1I4,A,07/08/2022,2022,219,50,0,0,87,
1,I,4,1I4,C,07/08/2022,2022,219,50,0,0,89,
1,I,4,1I4,E,07/08/2022,2022,219,50,0,0,89,
1,I,4,1I4,G,07/08/2022,2022,219,50,0,0,87,
1,I,4,1I4,I,07/08/2022,2022,219,50,0,0,88,
1,C,5,1C5,A,07/08/2022,2022,219,0,0,0,95,
1,C,5,1C5,C,07/08/2022,2022,219,0,0,0,90,
1,C,5,1C5,E,07/08/2022,2022,219,0,0,0,88,
1,C,5,1C5,G,07/08/2022,2022,219,0,0,0,93,
1,C,5,1C5,I,07/08/2022,2022,219,0,0,0,92,
1,I,5,1I5,A,07/08/2022,2022,219,50,0,0,89,
1,I,5,1I5,C,07/08/2022,2022,219,50,0,0,93,
1,I,5,1I5,E,07/08/2022,2022,219,50,0,0,89,
1,I,5,1I5,G,07/08/2022,2022,219,50,0,0,88,
1,I,5,1I5,I,07/08/2022,2022,219,50,0,0,90,
1,C,6,1C6,A,07/08/2022,2022,219,0,0,0,83,
1,C,6,1C6,C,07/08/2022,2022,219,0,0,0,83,
1,C,6,1C6,E,07/08/2022,2022,219,0,0,0,84,
1,C,6,1C6,G,07/08/2022,2022,219,0,0,0,89,
1,C,6,1C6,I,07/08/2022,2022,219,0,0,0,85,
1,I,6,1I6,A,07/08/2022,2022,219,50,0,0,87,
1,I,6,1I6,C,07/08/2022,2022,219,50,0,0,90,
1,I,6,1I6,E,07/08/2022,2022,219,50,0,0,98,
1,I,6,1I6,G,07/08/2022,2022,219,50,0,0,98,
1,I,6,1I6,I,07/08/2022,2022,219,50,0,0,90,
1,C,7,1C7,A,07/08/2022,2022,219,0,0,0,93,
1,C,7,1C7,C,07/08/2022,2022,219,0,0,0,89,
1,C,7,1C7,E,07/08/2022,2022,219,0,0,0,89,
1,C,7,1C7,G,07/08/2022,2022,219,0,0,0,93,
1,C,7,1C7,I,07/08/2022,2022,219,0,0,0,93,
1,I,7,1I7,A,07/08/2022,2022,219,50,0,0,98,
1,I,7,1I7,C,07/08/2022,2022,219,50,0,0,93,
1,I,7,1I7,E,07/08/2022,2022,219,50,0,0,90,
1,I,7,1I7,G,07/08/2022,2022,219,50,0,0,94,
1,I,7,1I7,I,07/08/2022,2022,219,50,0,0,99,
2,C,1,2C1,A,07/08/2022,2022,219,0,0,0,60,
2,C,1,2C1,C,07/08/2022,2022,219,0,0,0,62,
2,C,1,2C1,E,07/08/2022,2022,219,0,0,0,56,
2,C,1,2C1,G,07/08/2022,2022,219,0,0,0,52,
2,C,1,2C1,I,07/08/2022,2022,219,0,0,0,56,
2,I,1,2I1,A,07/08/2022,2022,219,50,0,0,56,
2,I,1,2I1,C,07/08/2022,2022,219,50,0,0,61,
2,I,1,2I1,E,07/08/2022,2022,219,50,0,0,58,
2,I,1,2I1,G,07/08/2022,2022,219,50,0,0,59,
2,I,1,2I1,I,07/08/2022,2022,219,50,0,0,60.5,
2,C,2,2C2,A,07/08/2022,2022,219,0,0,0,57,
2,C,2,2C2,C,07/08/2022,2022,219,0,0,0,47,
2,C,2,2C2,E,07/08/2022,2022,219,0,0,0,50,
2,C,2,2C2,G,07/08/2022,2022,219,0,0,0,55,
2,C,2,2C2,I,07/08/2022,2022,219,0,0,0,50,
2,I,2,2I2,A,07/08/2022,2022,219,50,0,0,53,
2,I,2,2I2,C,07/08/2022,2022,219,50,0,0,44.5,
2,I,2,2I2,E,07/08/2022,2022,219,50,0,0,51.5,
2,I,2,2I2,G,07/08/2022,2022,219,50,0,0,57,
2,I,2,2I2,I,07/08/2022,2022,219,50,0,0,50,
2,C,3,2C3,A,07/08/2022,2022,219,0,0,0,52,
2,C,3,2C3,C,07/08/2022,2022,219,0,0,0,48,
2,C,3,2C3,E,07/08/2022,2022,219,0,0,0,48,
2,C,3,2C3,G,07/08/2022,2022,219,0,0,0,50,
2,C,3,2C3,I,07/08/2022,2022,219,0,0,0,53,
2,I,3,2I3,A,07/08/2022,2022,219,50,0,0,48,
2,I,3,2I3,C,07/08/2022,2022,219,50,0,0,44,
2,I,3,2I3,E,07/08/2022,2022,219,50,0,0,52,
2,I,3,2I3,G,07/08/2022,2022,219,50,0,0,60,
2,I,3,2I3,I,07/08/2022,2022,219,50,0,0,51,
2,C,4,2C4,A,07/08/2022,2022,219,0,0,0,54,
2,C,4,2C4,C,07/08/2022,2022,219,0,0,0,55,
2,C,4,2C4,E,07/08/2022,2022,219,0,0,0,55,
2,C,4,2C4,G,07/08/2022,2022,219,0,0,0,55,
2,C,4,2C4,I,07/08/2022,2022,219,0,0,0,56,
2,I,4,2I4,A,07/08/2022,2022,219,50,0,0,46,
2,I,4,2I4,C,07/08/2022,2022,219,50,0,0,45,
2,I,4,2I4,E,07/08/2022,2022,219,50,0,0,48,
2,I,4,2I4,G,07/08/2022,2022,219,50,0,0,49,
2,I,4,2I4,I,07/08/2022,2022,219,50,0,0,46,
2,C,5,2C5,A,07/08/2022,2022,219,0,0,0,57,
2,C,5,2C5,C,07/08/2022,2022,219,0,0,0,59,
2,C,5,2C5,E,07/08/2022,2022,219,0,0,0,58,
2,C,5,2C5,G,07/08/2022,2022,219,0,0,0,59,
2,C,5,2C5,I,07/08/2022,2022,219,0,0,0,58,
2,I,5,2I5,A,07/08/2022,2022,219,50,0,0,54,
2,I,5,2I5,C,07/08/2022,2022,219,50,0,0,56,
2,I,5,2I5,E,07/08/2022,2022,219,50,0,0,59,
2,I,5,2I5,G,07/08/2022,2022,219,50,0,0,54,
2,I,5,2I5,I,07/08/2022,2022,219,50,0,0,52,
2,C,6,2C6,A,07/08/2022,2022,219,0,0,0,62,
2,C,6,2C6,C,07/08/2022,2022,219,0,0,0,54,
2,C,6,2C6,E,07/08/2022,2022,219,0,0,0,49,
2,C,6,2C6,G,07/08/2022,2022,219,0,0,0,60,
2,C,6,2C6,I,07/08/2022,2022,219,0,0,0,52,
2,I,6,2I6,A,07/08/2022,2022,219,50,0,0,55,
2,I,6,2I6,C,07/08/2022,2022,219,50,0,0,57,
2,I,6,2I6,E,07/08/2022,2022,219,50,0,0,53,
2,I,6,2I6,G,07/08/2022,2022,219,50,0,0,50,
2,I,6,2I6,I,07/08/2022,2022,219,50,0,0,55,
2,C,7,2C7,A,07/08/2022,2022,219,0,0,0,59,
2,C,7,2C7,C,07/08/2022,2022,219,0,0,0,58,
2,C,7,2C7,E,07/08/2022,2022,219,0,0,0,54,
2,C,7,2C7,G,07/08/2022,2022,219,0,0,0,53,
2,C,7,2C7,I,07/08/2022,2022,219,0,0,0,58,
2,I,7,2I7,A,07/08/2022,2022,219,50,0,0,59,
2,I,7,2I7,C,07/08/2022,2022,219,50,0,0,58,
